operation,latency,throughput,memory_usage,cpu_usage,data_size_bytes
encryption,1.049089 s,0.320218 KB/s,"{'current': '12.219727 KB', 'peak': '25.711914 KB'}",0.000000 %,344
decryption,2.446926 s,0.102169 KB/s,"{'current': '2.348633 KB', 'peak': '13.702148 KB'}",1.900000 %,256
encryption,1.052763 s,0.319101 KB/s,"{'current': '6.293945 KB', 'peak': '20.183594 KB'}",1.400000 %,344
decryption,2.447125 s,0.102161 KB/s,"{'current': '3.624023 KB', 'peak': '13.452148 KB'}",0.600000 %,256
encryption,1.043123 s,0.322050 KB/s,"{'current': '6.293945 KB', 'peak': '19.933594 KB'}",1.400000 %,344
decryption,2.445739 s,0.102219 KB/s,"{'current': '9.622070 KB', 'peak': '14.864258 KB'}",0.600000 %,256
encryption,1.043212 s,0.322022 KB/s,"{'current': '6.293945 KB', 'peak': '19.933594 KB'}",1.400000 %,344
decryption,2.445231 s,0.102240 KB/s,"{'current': '6.293945 KB', 'peak': '13.452148 KB'}",0.000000 %,256
encryption,0.777511 s,0.321539 KB/s,"{'current': '89.189453 KB', 'peak': '98.014648 KB'}",0.000000 %,256
decryption,2.451139 s,0.101993 KB/s,"{'current': '95.625977 KB', 'peak': '98.159180 KB'}",0.000000 %,256
encryption,0.801790 s,0.311802 KB/s,"{'current': '12.528320 KB', 'peak': '25.100586 KB'}",0.000000 %,256
decryption,2.447839 s,0.102131 KB/s,"{'current': '6.645508 KB', 'peak': '13.452148 KB'}",0.600000 %,256
encryption,0.803959 s,0.310961 KB/s,"{'current': '7.116211 KB', 'peak': '20.004883 KB'}",1.800000 %,256
decryption,2.417040 s,0.103432 KB/s,"{'current': '2.781250 KB', 'peak': '13.452148 KB'}",0.600000 %,256
encryption,0.774637 s,0.322732 KB/s,"{'current': '11.490234 KB', 'peak': '20.159180 KB'}",0.000000 %,256
decryption,2.446819 s,0.102173 KB/s,"{'current': '3.071289 KB', 'peak': '13.452148 KB'}",0.600000 %,256
encryption,0.774169 s,0.322927 KB/s,"{'current': '6.631836 KB', 'peak': '19.770508 KB'}",0.000000 %,256
decryption,2.446290 s,0.102196 KB/s,"{'current': '2.747070 KB', 'peak': '13.452148 KB'}",1.200000 %,256
encryption,0.805544 s,0.310349 KB/s,"{'current': '90.791992 KB', 'peak': '97.232422 KB'}",0.000000 %,256
encryption,1.537317 s,0.325242 KB/s,"{'current': '78.557617 KB', 'peak': '87.860352 KB'}",2.900000 %,512
decryption,2.459149 s,0.203322 KB/s,"{'current': '91.987305 KB', 'peak': '94.720703 KB'}",0.000000 %,512
encryption,1.539845 s,0.324708 KB/s,"{'current': '6.931641 KB', 'peak': '17.848633 KB'}",0.000000 %,512
decryption,2.416338 s,0.206925 KB/s,"{'current': '4.137695 KB', 'peak': '13.639648 KB'}",0.000000 %,512
encryption,1.535640 s,0.325597 KB/s,"{'current': '4.810547 KB', 'peak': '15.989258 KB'}",1.000000 %,512
decryption,2.413305 s,0.207185 KB/s,"{'current': '4.272461 KB', 'peak': '13.389648 KB'}",0.600000 %,512
encryption,1.535734 s,0.325577 KB/s,"{'current': '4.701172 KB', 'peak': '15.989258 KB'}",0.000000 %,512
decryption,2.446360 s,0.204385 KB/s,"{'current': '2.997070 KB', 'peak': '13.639648 KB'}",0.600000 %,512
encryption,1.534358 s,0.325869 KB/s,"{'current': '4.701172 KB', 'peak': '15.989258 KB'}",0.000000 %,512
decryption,2.449740 s,0.204103 KB/s,"{'current': '3.043945 KB', 'peak': '13.389648 KB'}",0.000000 %,512
encryption,3.165358 s,0.157960 KB/s,"{'current': '269.741211 KB', 'peak': '279.135742 KB'}",50.500000 %,512
decryption,2.513841 s,0.198899 KB/s,"{'current': '264.617188 KB', 'peak': '267.340820 KB'}",4.200000 %,512
encryption,2.721393 s,0.183729 KB/s,"{'current': '40.999023 KB', 'peak': '54.414062 KB'}",42.100000 %,512
